node,Y,D,X,pscore0,pscore1,exposure0,exposure1
i0,-3.397137322213661,0,0.0134018582180386,0.25650477209764233,0.7434952279023577,0,1
i1869,-0.4447571606433201,0,-0.1585123905664738,0.19530363349188906,0.8046963665081109,0,1
i714,-2.10145178218446,0,0.4550598569132106,0.25650477209764233,0.7434952279023577,0,1
i1420,0.6675745026043522,1,-0.9646474228665894,0.3368312665176936,0.6631687334823064,1,0
i1521,-3.863034398574355,0,1.981263454721924,0.3368312665176936,0.6631687334823064,1,0
i274,-4.9482669649588615,0,-0.2100557729981995,0.3368312665176936,0.6631687334823064,0,1
i1,-3.523658764946856,1,-0.2340820730801456,0.4422432868085695,0.5577567131914305,0,1
i1230,-0.6829297615590825,0,-0.5895957758414572,0.3368312665176936,0.6631687334823064,0,1
i704,-4.965664521005989,0,1.103453204712511,0.5805532766383191,0.4194467233616809,0,1
i1378,-3.364103159018336,1,0.0064202385243521,0.4422432868085695,0.5577567131914305,0,1
i2,-4.808486981715837,0,1.0276043614011736,0.5805532766383191,0.4194467233616809,1,0
i1815,-1.771714887358115,0,-0.0041857556317635,0.25650477209764233,0.7434952279023577,0,1
i1073,-6.2629143557875695,0,0.8888437788544289,0.5805532766383191,0.4194467233616809,0,1
i3,0.2252747720100321,0,-1.1014142111807836,0.08612814428066473,0.9138718557193353,0,1
i172,-2.837818178163516,0,0.131957301329239,0.11317101807855146,0.8868289819214485,0,1
i1243,-6.3840886461342565,0,1.455228396392314,0.06553698572838129,0.9344630142716187,0,1
i1076,-4.902701723420378,0,-0.3287728846716947,0.08612814428066473,0.9138718557193353,0,1
i573,-4.646345622322663,0,0.0794038151957183,0.03792830253385071,0.9620716974661493,0,1
i178,-2.831854441897896,0,-1.6272078065504278,0.04986080220742173,0.9501391977925783,0,1
i1732,-5.283509381051536,0,0.5092649929249059,0.06553698572838129,0.9344630142716187,0,1
i1071,-4.068808864716328,1,-0.2946358371937122,0.04986080220742173,0.9501391977925783,1,0
i1790,-5.915111593552014,0,0.954509955621015,0.08612814428066473,0.9138718557193353,0,1
i543,0.627854288114979,1,-0.4783373884913608,0.5805532766383191,0.4194467233616809,0,1
i4,0.3412464079404307,0,-1.041121467392606,0.3368312665176936,0.6631687334823064,1,0
i775,-0.5140140409210062,0,-0.7487327138158041,0.25650477209764233,0.7434952279023577,1,0
i1006,1.6646192808414575,0,-1.1457748358995157,0.19530363349188906,0.8046963665081109,0,1
i272,1.311053075639402,0,-0.6878075170104481,0.3368312665176936,0.6631687334823064,1,0
i1684,0.6743401518831129,0,-0.6275686027358373,0.25650477209764233,0.7434952279023577,1,0
i5,-3.0901144581172364,0,-1.0242252710980422,0.25650477209764233,0.7434952279023577,0,1
i1450,-3.3971914214907883,0,-0.1536880685175025,0.25650477209764233,0.7434952279023577,0,1
i1520,-1.7918226034433868,1,-0.1742070470263107,0.25650477209764233,0.7434952279023577,1,0
i1961,-2.651250961079537,0,-0.2733902187499678,0.4422432868085695,0.5577567131914305,1,0
i655,-2.857990580074043,0,-0.3209530007163442,0.3368312665176936,0.6631687334823064,0,1
i1239,-3.5319146973651923,0,-0.2642770941335498,0.4422432868085695,0.5577567131914305,0,1
i6,-3.3059574557389646,0,-0.3603275874259869,0.762,0.238,1,0
i859,-0.9417355727907364,0,-0.5852135020601873,0.3368312665176936,0.6631687334823064,1,0
i7,-0.700884589686358,1,-1.2285902159118465,0.25650477209764233,0.7434952279023577,0,1
i1421,-0.9362003548106164,0,-1.6877105518433857,0.1486815023273258,0.8513184976726742,0,1
i472,-2.958453468984512,0,0.8643889426789316,0.19530363349188906,0.8046963665081109,0,1
i1413,-2.595363287108944,1,-0.0737268789546666,0.25650477209764233,0.7434952279023577,0,1
i126,-3.421029742291597,0,-0.8531921762768451,0.19530363349188906,0.8046963665081109,0,1
i733,-1.6081743584253068,0,-0.7529457984332404,0.4422432868085695,0.5577567131914305,0,1
i8,-3.1204044907066693,1,-0.0485714887992705,0.25650477209764233,0.7434952279023577,0,1
i1906,-4.387314481510599,0,1.1021656399195396,0.25650477209764233,0.7434952279023577,0,1
i577,-3.1035868873232237,0,0.309397787548615,0.5805532766383191,0.4194467233616809,0,1
i1169,-4.214867382056538,0,0.5251572900302712,0.3368312665176936,0.6631687334823064,0,1
i978,-0.7103812675100742,1,-1.6501898919653826,0.25650477209764233,0.7434952279023577,0,1
i1629,-4.030606780099347,1,-0.953447490060409,0.3368312665176936,0.6631687334823064,0,1
i9,2.101518179602032,0,-0.1654901946308669,0.4422432868085695,0.5577567131914305,1,0
